epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.691,1.75885,3.73728,1.03942,0.75767,0.32966,0.37499,0.24733,1.42077,1.79527,0.9337,6.77536e-05,6.77536e-05,6.77536e-05
2,258.448,1.37132,1.45895,0.92304,0.71774,0.73682,0.75116,0.54075,1.11914,0.89995,0.8747,0.000124554,0.000124554,0.000124554
3,402.689,1.1464,0.98219,0.8904,0.89895,0.83688,0.87041,0.65448,0.94165,0.6848,0.84776,0.000170134,0.000170134,0.000170134
4,518.254,1.01504,0.80227,0.86761,0.88092,0.88418,0.90704,0.69056,0.86729,0.61053,0.83366,0.00015351,0.00015351,0.00015351
5,634.48,0.9364,0.71984,0.8527,0.93258,0.89685,0.94529,0.73784,0.81304,0.57206,0.82547,0.00013668,0.00013668,0.00013668
6,752.715,0.89017,0.67436,0.84663,0.94967,0.90415,0.94971,0.75118,0.78314,0.54419,0.82172,0.00011985,0.00011985,0.00011985
7,870.887,0.8559,0.63992,0.84096,0.95675,0.91699,0.96187,0.76724,0.74279,0.51821,0.81739,0.00010302,0.00010302,0.00010302
8,986.29,0.82437,0.61457,0.83806,0.93167,0.94618,0.97055,0.77915,0.72426,0.50037,0.81438,8.619e-05,8.619e-05,8.619e-05
9,1103.83,0.80516,0.59448,0.83263,0.94677,0.94832,0.96694,0.79074,0.69306,0.48054,0.8116,6.936e-05,6.936e-05,6.936e-05
10,1209.42,0.78862,0.58165,0.82991,0.95282,0.96485,0.97191,0.79783,0.68069,0.47269,0.81019,5.253e-05,5.253e-05,5.253e-05
11,1288.79,0.77075,0.56953,0.82874,0.96631,0.96458,0.9797,0.80574,0.6743,0.47085,0.81001,3.57e-05,3.57e-05,3.57e-05
12,1368.52,0.75301,0.55937,0.82459,0.97005,0.96501,0.98028,0.80918,0.65753,0.45785,0.80811,1.887e-05,1.887e-05,1.887e-05
