epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0606,1.80056,3.81051,1.06166,0.77439,0.30736,0.35875,0.23637,1.51792,1.81353,0.95481,7.89406e-05,7.89406e-05,7.89406e-05
2,149.876,1.40343,1.50398,0.93173,0.80392,0.57992,0.62387,0.42525,1.16223,0.92471,0.89209,0.000153051,0.000153051,0.000153051
3,222.163,1.20482,1.00584,0.89668,0.8365,0.74766,0.78774,0.57707,0.99319,0.74061,0.86187,0.000221925,0.000221925,0.000221925
4,292.997,1.0939,0.8532,0.87879,0.91626,0.79638,0.88434,0.67072,0.91595,0.64349,0.84986,0.000214438,0.000214438,0.000214438
5,364.434,1.01404,0.75746,0.86525,0.93694,0.86525,0.90516,0.69921,0.84136,0.58181,0.83912,0.000206584,0.000206584,0.000206584
6,436.036,0.96981,0.7019,0.85722,0.90603,0.87942,0.92866,0.72716,0.81318,0.55495,0.83343,0.00019873,0.00019873,0.00019873
7,507.524,0.92813,0.66166,0.85263,0.90289,0.91103,0.93363,0.74172,0.76525,0.51648,0.8278,0.000190876,0.000190876,0.000190876
8,580.218,0.91021,0.63764,0.84873,0.92117,0.92755,0.94811,0.75717,0.75752,0.50054,0.82682,0.000183022,0.000183022,0.000183022
9,651.514,0.88268,0.61223,0.84447,0.91545,0.92683,0.94748,0.76245,0.73897,0.48927,0.82383,0.000175168,0.000175168,0.000175168
10,722.683,0.86565,0.59952,0.84276,0.94112,0.93683,0.95615,0.77473,0.71685,0.4729,0.82083,0.000167314,0.000167314,0.000167314
11,794.064,0.84185,0.58203,0.83993,0.94254,0.93993,0.9569,0.78358,0.70912,0.46658,0.82164,0.00015946,0.00015946,0.00015946
12,865.194,0.83393,0.5713,0.83849,0.95202,0.94028,0.95708,0.78769,0.68684,0.45055,0.81751,0.000151606,0.000151606,0.000151606
13,937.663,0.82012,0.55905,0.83621,0.94816,0.94662,0.95709,0.78888,0.67804,0.44875,0.81647,0.000143752,0.000143752,0.000143752
14,1009.39,0.80952,0.54802,0.83487,0.95237,0.9453,0.95788,0.79153,0.66983,0.445,0.81595,0.000135898,0.000135898,0.000135898
15,1080.98,0.79678,0.53802,0.83296,0.9526,0.95137,0.95815,0.7958,0.66433,0.44587,0.81472,0.000128044,0.000128044,0.000128044
16,1152.45,0.78516,0.52833,0.83232,0.95011,0.94711,0.95814,0.80114,0.65183,0.43096,0.81408,0.00012019,0.00012019,0.00012019
17,1223.23,0.77877,0.52423,0.83112,0.95298,0.95208,0.95821,0.79921,0.64952,0.4224,0.81407,0.000112336,0.000112336,0.000112336
18,1295.43,0.77096,0.51612,0.83031,0.95498,0.94896,0.95847,0.80278,0.63434,0.41984,0.81217,0.000104482,0.000104482,0.000104482
19,1366.94,0.75159,0.50279,0.82769,0.95462,0.95167,0.9583,0.80896,0.62552,0.4095,0.81009,9.6628e-05,9.6628e-05,9.6628e-05
20,1438.41,0.74981,0.50141,0.82731,0.95385,0.95126,0.95836,0.80983,0.62756,0.40857,0.81088,8.8774e-05,8.8774e-05,8.8774e-05
21,1528.96,0.74614,0.51016,0.82527,0.95356,0.9493,0.95795,0.80916,0.62842,0.41421,0.80983,8.092e-05,8.092e-05,8.092e-05
22,1595.85,0.71634,0.4811,0.82165,0.95143,0.95251,0.9583,0.81107,0.62095,0.40389,0.80881,7.3066e-05,7.3066e-05,7.3066e-05
23,1659.28,0.7003,0.46965,0.81959,0.95542,0.95307,0.9586,0.81422,0.6076,0.39988,0.80806,6.5212e-05,6.5212e-05,6.5212e-05
24,1713.52,0.69025,0.46304,0.81842,0.95394,0.95474,0.95859,0.81686,0.59981,0.39435,0.80743,5.7358e-05,5.7358e-05,5.7358e-05
25,1767.8,0.67758,0.45422,0.81649,0.95411,0.95399,0.95861,0.81853,0.59504,0.38923,0.80603,4.9504e-05,4.9504e-05,4.9504e-05
26,1822.14,0.67242,0.45213,0.81584,0.95744,0.95163,0.95874,0.82294,0.58966,0.38618,0.80604,4.165e-05,4.165e-05,4.165e-05
27,1876.64,0.66299,0.44481,0.81532,0.95515,0.95397,0.95873,0.82637,0.58133,0.38182,0.80523,3.3796e-05,3.3796e-05,3.3796e-05
28,1931.33,0.65859,0.4417,0.81443,0.95532,0.9555,0.95876,0.82782,0.57654,0.37981,0.80459,2.5942e-05,2.5942e-05,2.5942e-05
29,1986.76,0.65132,0.43696,0.81316,0.95522,0.95543,0.95877,0.83061,0.57369,0.37755,0.80425,1.8088e-05,1.8088e-05,1.8088e-05
30,2040.17,0.64754,0.43676,0.81261,0.95607,0.95526,0.95881,0.83099,0.56971,0.37516,0.80382,1.0234e-05,1.0234e-05,1.0234e-05
