epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9894,1.788,4.08218,1.06893,0.69337,0.29574,0.32613,0.22422,1.49389,2.19517,0.95764,6.6323e-05,6.6323e-05,6.6323e-05
2,180.091,1.45051,1.81501,0.94236,0.81938,0.56763,0.62591,0.44832,1.22818,1.04596,0.9023,0.000124212,0.000124212,0.000124212
3,266.017,1.2517,1.12554,0.90502,0.83779,0.77174,0.83021,0.61945,1.02968,0.76191,0.86748,0.000173302,0.000173302,0.000173302
4,355.095,1.1276,0.92295,0.88251,0.86528,0.877,0.88858,0.6846,0.94157,0.67384,0.84976,0.0001604,0.0001604,0.0001604
5,441.207,1.04516,0.81592,0.86789,0.91361,0.89542,0.91428,0.71071,0.90307,0.63192,0.84381,0.0001472,0.0001472,0.0001472
6,547.75,0.98577,0.77306,0.86236,0.91265,0.90391,0.93422,0.73441,0.85375,0.59821,0.83406,0.000134,0.000134,0.000134
7,629.209,0.92711,0.70037,0.85065,0.96275,0.9241,0.94835,0.75864,0.8167,0.55966,0.83073,0.0001208,0.0001208,0.0001208
8,712.462,0.88615,0.65914,0.84706,0.98016,0.92548,0.95428,0.77132,0.78044,0.53491,0.82767,0.0001076,0.0001076,0.0001076
9,795.983,0.86035,0.63069,0.84305,0.98061,0.93304,0.95993,0.7799,0.76678,0.52172,0.82485,9.44e-05,9.44e-05,9.44e-05
10,880.888,0.83302,0.6083,0.8381,0.98224,0.93793,0.97059,0.79917,0.72882,0.49767,0.82092,8.12e-05,8.12e-05,8.12e-05
11,964.053,0.82443,0.59934,0.8365,0.98607,0.93626,0.97629,0.80617,0.72146,0.48864,0.81926,6.8e-05,6.8e-05,6.8e-05
12,1046.33,0.80384,0.58596,0.83508,0.98401,0.94114,0.9856,0.81668,0.70782,0.47902,0.81787,5.48e-05,5.48e-05,5.48e-05
13,1133.15,0.79417,0.57635,0.83231,0.98422,0.94226,0.98633,0.82083,0.70017,0.47485,0.81697,4.16e-05,4.16e-05,4.16e-05
14,1217.66,0.78479,0.56959,0.83063,0.98669,0.94375,0.9893,0.82449,0.68732,0.4692,0.81558,2.84e-05,2.84e-05,2.84e-05
15,1297.8,0.76706,0.55868,0.829,0.95506,0.96549,0.98967,0.82789,0.68284,0.4643,0.81499,1.52e-05,1.52e-05,1.52e-05
