epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9114,1.76075,3.78097,1.05941,0.75503,0.32723,0.3454,0.22882,1.44146,1.74476,0.94212,8.09205e-05,8.09205e-05,8.09205e-05
2,142.186,1.38165,1.48508,0.92999,0.83851,0.57519,0.63833,0.45125,1.12734,0.89059,0.88197,0.000156899,0.000156899,0.000156899
3,211.892,1.17597,0.98963,0.89241,0.87316,0.68869,0.72452,0.53178,0.97397,0.75399,0.85931,0.00022751,0.00022751,0.00022751
4,287.425,1.05673,0.83665,0.87417,0.93907,0.76124,0.85057,0.64927,0.9296,0.63751,0.84778,0.000219844,0.000219844,0.000219844
5,399.477,0.99069,0.7408,0.86277,0.94088,0.81209,0.87974,0.68276,0.87265,0.59371,0.84175,0.000211792,0.000211792,0.000211792
6,505.892,0.94306,0.68674,0.85559,0.97121,0.84197,0.93357,0.7375,0.79032,0.53302,0.83153,0.00020374,0.00020374,0.00020374
7,613.608,0.9153,0.65253,0.85099,0.95934,0.91558,0.94402,0.75073,0.77403,0.51781,0.82822,0.000195688,0.000195688,0.000195688
8,718.995,0.88725,0.626,0.84813,0.96912,0.92928,0.95041,0.75755,0.77091,0.50403,0.82679,0.000187636,0.000187636,0.000187636
9,828.197,0.85677,0.60192,0.84258,0.96209,0.93853,0.95085,0.76929,0.74783,0.48382,0.82375,0.000179584,0.000179584,0.000179584
10,935.141,0.84753,0.58914,0.84088,0.97652,0.93814,0.95539,0.77798,0.70439,0.46501,0.8195,0.000171532,0.000171532,0.000171532
11,1043.22,0.82643,0.57451,0.83803,0.97328,0.93807,0.95876,0.7779,0.70889,0.45779,0.82061,0.00016348,0.00016348,0.00016348
12,1149.2,0.81285,0.56077,0.83642,0.98222,0.93772,0.96225,0.7883,0.69792,0.44832,0.81851,0.000155428,0.000155428,0.000155428
13,1253.1,0.79414,0.54862,0.83414,0.98532,0.93579,0.96538,0.79265,0.68642,0.4488,0.81697,0.000147376,0.000147376,0.000147376
14,1361.31,0.79261,0.54426,0.83363,0.98287,0.94231,0.96892,0.80328,0.65667,0.43694,0.81557,0.000139324,0.000139324,0.000139324
15,1472.06,0.77817,0.53192,0.83178,0.97901,0.95132,0.97054,0.80205,0.65137,0.4355,0.81488,0.000131272,0.000131272,0.000131272
16,1578.44,0.76873,0.52404,0.83271,0.97167,0.95515,0.97044,0.80653,0.63755,0.42295,0.81294,0.00012322,0.00012322,0.00012322
17,1686.05,0.75976,0.51541,0.83063,0.97737,0.95447,0.97142,0.81112,0.63506,0.42236,0.81162,0.000115168,0.000115168,0.000115168
18,1790.76,0.75548,0.51044,0.82954,0.97436,0.95728,0.97309,0.81005,0.62878,0.41813,0.8107,0.000107116,0.000107116,0.000107116
19,1900.65,0.73942,0.49873,0.82679,0.97986,0.9643,0.97346,0.81373,0.62059,0.41047,0.80958,9.9064e-05,9.9064e-05,9.9064e-05
20,2004.6,0.74187,0.49803,0.82811,0.98063,0.96526,0.97405,0.82357,0.60576,0.40345,0.80783,9.1012e-05,9.1012e-05,9.1012e-05
21,2124.1,0.73035,0.50481,0.82447,0.98647,0.9562,0.9759,0.81702,0.62084,0.4069,0.80822,8.296e-05,8.296e-05,8.296e-05
22,2225.03,0.70406,0.47943,0.82021,0.98103,0.96685,0.97714,0.82389,0.60614,0.40096,0.80621,7.4908e-05,7.4908e-05,7.4908e-05
23,2319.99,0.68436,0.46574,0.81761,0.98367,0.96271,0.97938,0.82748,0.59592,0.3932,0.80566,6.6856e-05,6.6856e-05,6.6856e-05
24,2417.68,0.67945,0.4609,0.81794,0.98855,0.96585,0.98004,0.83151,0.58697,0.38905,0.80459,5.8804e-05,5.8804e-05,5.8804e-05
25,2517.88,0.66608,0.45308,0.81522,0.98307,0.9669,0.98224,0.8339,0.57849,0.38467,0.80431,5.0752e-05,5.0752e-05,5.0752e-05
26,2617.67,0.664,0.45014,0.81617,0.98912,0.96641,0.98118,0.8348,0.57809,0.38333,0.80403,4.27e-05,4.27e-05,4.27e-05
27,2717.2,0.65002,0.44337,0.81473,0.97682,0.97041,0.98165,0.84046,0.57255,0.38101,0.80334,3.4648e-05,3.4648e-05,3.4648e-05
28,2815.16,0.64455,0.43962,0.81265,0.97949,0.97112,0.98291,0.83982,0.56493,0.37724,0.80254,2.6596e-05,2.6596e-05,2.6596e-05
29,2922.21,0.63766,0.43598,0.81186,0.98138,0.97037,0.98311,0.84499,0.55729,0.37255,0.80189,1.8544e-05,1.8544e-05,1.8544e-05
30,3023.14,0.63325,0.43151,0.81243,0.9822,0.97058,0.98319,0.84637,0.55376,0.37039,0.80154,1.0492e-05,1.0492e-05,1.0492e-05
