epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8405,1.74068,3.78745,1.04333,0.78746,0.31894,0.37362,0.25125,1.42228,1.83199,0.93602,6.90656e-05,6.90656e-05,6.90656e-05
2,167.454,1.36704,1.48894,0.92364,0.79016,0.72202,0.77887,0.56583,1.09754,0.86405,0.87658,0.000126981,0.000126981,0.000126981
3,269.514,1.14952,0.98276,0.89495,0.90855,0.83129,0.8907,0.6607,0.974,0.71232,0.85058,0.000173456,0.000173456,0.000173456
4,344.447,1.00714,0.79943,0.86688,0.91319,0.88192,0.9228,0.71062,0.86311,0.61217,0.83635,0.00015652,0.00015652,0.00015652
5,419.044,0.93282,0.71499,0.8557,0.92645,0.89263,0.95123,0.74259,0.80274,0.56243,0.83034,0.00013936,0.00013936,0.00013936
6,492.498,0.88636,0.66438,0.84585,0.95854,0.92953,0.96268,0.76605,0.76681,0.53326,0.82337,0.0001222,0.0001222,0.0001222
7,567.755,0.85825,0.63641,0.8424,0.96761,0.92721,0.97596,0.78118,0.76445,0.51769,0.82143,0.00010504,0.00010504,0.00010504
8,641.589,0.829,0.60894,0.838,0.9588,0.95616,0.98033,0.7929,0.7352,0.50438,0.81798,8.788e-05,8.788e-05,8.788e-05
9,716.507,0.80839,0.59396,0.83451,0.96853,0.96285,0.98768,0.80783,0.70177,0.481,0.81453,7.072e-05,7.072e-05,7.072e-05
10,790.654,0.78817,0.57522,0.83166,0.97618,0.95952,0.98812,0.81086,0.69582,0.47815,0.81385,5.356e-05,5.356e-05,5.356e-05
11,863.646,0.77193,0.56306,0.83049,0.97569,0.97112,0.98922,0.81764,0.67662,0.46053,0.81153,3.64e-05,3.64e-05,3.64e-05
12,937.42,0.75983,0.5555,0.82936,0.97756,0.96742,0.98872,0.82064,0.66381,0.45579,0.80997,1.924e-05,1.924e-05,1.924e-05
