epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5996,1.74023,3.13948,1.41027,0.98422,0.27958,0.65075,0.40228,1.46285,2.87866,1.25288,0.000297684,0.000297684,0.000297684
2,62.5284,1.38904,1.53161,1.16743,0.80118,0.76511,0.86249,0.56464,1.33921,1.67816,1.18397,0.000580862,0.000580862,0.000580862
3,90.9062,1.27087,1.27512,1.10835,0.91214,0.88653,0.96097,0.65963,1.22828,1.03263,1.18529,0.000844041,0.000844041,0.000844041
4,117.165,1.1941,1.11948,1.08106,0.94542,0.92014,0.96094,0.70907,1.11733,0.90282,1.1378,0.000819009,0.000819009,0.000819009
5,142.161,1.11552,0.98174,1.057,0.97895,0.96326,0.98573,0.7486,0.96739,0.6895,1.0893,0.000789012,0.000789012,0.000789012
6,169.097,1.02538,0.88789,1.03034,0.9744,0.97366,0.98972,0.76563,0.92186,0.64573,1.07226,0.000759015,0.000759015,0.000759015
7,195.655,0.98313,0.81971,1.00577,0.9875,0.973,0.98972,0.77856,0.88842,0.59682,1.03777,0.000729018,0.000729018,0.000729018
8,222.423,0.92414,0.74192,0.98874,0.99141,0.97289,0.99246,0.79115,0.84769,0.55196,1.0242,0.000699021,0.000699021,0.000699021
9,248.602,0.90888,0.71059,0.97323,0.98694,0.9729,0.99364,0.81813,0.77595,0.51915,0.99455,0.000669024,0.000669024,0.000669024
10,273.286,0.86118,0.68172,0.96283,0.99133,0.98151,0.99271,0.82577,0.76086,0.51347,0.99557,0.000639027,0.000639027,0.000639027
11,299.607,0.8187,0.6379,0.9541,0.99256,0.98876,0.99464,0.84377,0.69621,0.46545,0.96725,0.00060903,0.00060903,0.00060903
12,325.923,0.78427,0.59625,0.93348,0.99535,0.99254,0.99466,0.86254,0.63573,0.43339,0.94646,0.000579033,0.000579033,0.000579033
13,353.836,0.75915,0.57904,0.92628,0.99514,0.99055,0.99467,0.87018,0.62132,0.41793,0.93664,0.000549036,0.000549036,0.000549036
14,381.954,0.74261,0.56531,0.92368,0.99138,0.99376,0.99484,0.87759,0.60504,0.40549,0.92668,0.000519039,0.000519039,0.000519039
15,408.03,0.71584,0.53309,0.91,0.99722,0.99305,0.99494,0.87439,0.59478,0.39603,0.92139,0.000489042,0.000489042,0.000489042
16,434.281,0.68574,0.51442,0.90695,0.99873,0.99176,0.99489,0.86486,0.59594,0.38617,0.91693,0.000459045,0.000459045,0.000459045
17,458.495,0.67186,0.48938,0.89652,0.99632,0.99669,0.99491,0.8918,0.53541,0.37663,0.90257,0.000429048,0.000429048,0.000429048
18,482.396,0.64562,0.48865,0.88812,0.9948,0.99763,0.99497,0.90228,0.50648,0.36837,0.89701,0.000399051,0.000399051,0.000399051
19,509.43,0.6267,0.47155,0.88196,0.99849,0.99591,0.99498,0.91364,0.46974,0.34886,0.88475,0.000369054,0.000369054,0.000369054
20,536.494,0.60358,0.44693,0.8778,0.99605,0.99657,0.99495,0.92277,0.48037,0.33775,0.88846,0.000339057,0.000339057,0.000339057
21,584.718,0.62252,0.50005,0.88473,0.99541,0.99612,0.99497,0.91286,0.47128,0.35292,0.88982,0.00030906,0.00030906,0.00030906
22,608.632,0.59805,0.47199,0.88255,0.99822,0.99584,0.99495,0.92216,0.45687,0.33128,0.88288,0.000279063,0.000279063,0.000279063
23,632.074,0.59217,0.46214,0.88765,0.99815,0.99785,0.995,0.92673,0.43823,0.31826,0.87657,0.000249066,0.000249066,0.000249066
24,657.026,0.55328,0.44303,0.86752,0.99744,0.9978,0.995,0.93132,0.41973,0.30976,0.87187,0.000219069,0.000219069,0.000219069
25,683.94,0.52972,0.42981,0.86639,0.99822,0.99757,0.995,0.9231,0.42211,0.3004,0.86991,0.000189072,0.000189072,0.000189072
26,711.889,0.51469,0.40571,0.85553,0.99769,0.99821,0.99499,0.93912,0.38661,0.296,0.86347,0.000159075,0.000159075,0.000159075
27,739.37,0.49376,0.4022,0.85611,0.99851,0.99723,0.995,0.95211,0.36303,0.28125,0.85633,0.000129078,0.000129078,0.000129078
28,765.246,0.48253,0.38644,0.85016,0.99887,0.99791,0.995,0.95014,0.35639,0.27756,0.85506,9.9081e-05,9.9081e-05,9.9081e-05
29,791.41,0.47797,0.39185,0.85054,0.99897,0.99791,0.99499,0.95613,0.3428,0.27399,0.85289,6.9084e-05,6.9084e-05,6.9084e-05
30,817.418,0.45081,0.37706,0.8384,0.99883,0.99817,0.995,0.95851,0.33255,0.26575,0.85045,3.9087e-05,3.9087e-05,3.9087e-05
