epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7327,1.77303,3.83977,1.04485,0.80942,0.30229,0.35285,0.23224,1.44972,1.83149,0.93805,6.77258e-05,6.77258e-05,6.77258e-05
2,152.38,1.38149,1.53577,0.92563,0.66664,0.70034,0.71081,0.51075,1.14383,0.92694,0.87603,0.000126768,0.000126768,0.000126768
3,225.685,1.18204,1.02005,0.89182,0.85198,0.83332,0.85108,0.6356,0.9588,0.7175,0.84759,0.000176834,0.000176834,0.000176834
4,299.416,1.0644,0.85012,0.87279,0.87292,0.88016,0.89411,0.68327,0.9025,0.63772,0.8375,0.000163608,0.000163608,0.000163608
5,373.911,1.00032,0.76762,0.86271,0.9036,0.88372,0.91607,0.7057,0.84635,0.58419,0.83119,0.000150144,0.000150144,0.000150144
6,473.273,0.95278,0.73809,0.8577,0.93803,0.89314,0.93766,0.73129,0.81107,0.56394,0.8233,0.00013668,0.00013668,0.00013668
7,546.891,0.89984,0.66881,0.84666,0.94305,0.89986,0.95535,0.75826,0.75699,0.52625,0.81719,0.000123216,0.000123216,0.000123216
8,616.331,0.85466,0.63549,0.84046,0.95215,0.90671,0.96244,0.77208,0.73822,0.51485,0.81534,0.000109752,0.000109752,0.000109752
9,686.155,0.82894,0.61458,0.83671,0.9288,0.95185,0.96949,0.78406,0.70826,0.4929,0.81166,9.6288e-05,9.6288e-05,9.6288e-05
10,756.436,0.80283,0.59254,0.83323,0.9498,0.95353,0.97226,0.7892,0.70119,0.48593,0.81123,8.2824e-05,8.2824e-05,8.2824e-05
11,827.018,0.78407,0.57725,0.83096,0.96346,0.95541,0.97817,0.80273,0.67635,0.4675,0.80896,6.936e-05,6.936e-05,6.936e-05
12,902.822,0.76969,0.56457,0.82836,0.9697,0.9562,0.97834,0.80391,0.67129,0.46103,0.80755,5.5896e-05,5.5896e-05,5.5896e-05
13,976.932,0.75362,0.55136,0.82713,0.97812,0.95481,0.9821,0.81166,0.65235,0.45272,0.8067,4.2432e-05,4.2432e-05,4.2432e-05
14,1049.56,0.74433,0.54304,0.82553,0.97648,0.96025,0.98235,0.81633,0.6444,0.44613,0.8053,2.8968e-05,2.8968e-05,2.8968e-05
15,1123.33,0.73536,0.53963,0.82393,0.97483,0.96071,0.98222,0.81929,0.63838,0.44269,0.80427,1.5504e-05,1.5504e-05,1.5504e-05
