epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4711,1.75858,3.78546,1.0557,0.79986,0.29114,0.33341,0.2203,1.42848,1.81077,0.9455,7.72859e-05,7.72859e-05,7.72859e-05
2,154.736,1.38938,1.52023,0.93254,0.82034,0.56006,0.63217,0.43613,1.16548,0.9394,0.89482,0.000149839,0.000149839,0.000149839
3,228.647,1.1934,1.00749,0.89669,0.80378,0.73239,0.78119,0.58156,0.97231,0.76034,0.86377,0.000217266,0.000217266,0.000217266
4,302.799,1.07472,0.84887,0.87533,0.85284,0.81788,0.85872,0.6571,0.89828,0.63038,0.85017,0.000209933,0.000209933,0.000209933
5,375.732,1.00614,0.75286,0.86272,0.92829,0.85017,0.90442,0.69658,0.84392,0.57594,0.84,0.000202244,0.000202244,0.000202244
6,448.58,0.95497,0.69864,0.85534,0.90896,0.8791,0.90261,0.71482,0.79885,0.54281,0.83621,0.000194555,0.000194555,0.000194555
7,521.411,0.92093,0.66093,0.85098,0.92743,0.88887,0.94272,0.74831,0.79119,0.53008,0.8309,0.000186866,0.000186866,0.000186866
8,595.272,0.90127,0.63767,0.84646,0.93286,0.91238,0.94659,0.76004,0.75698,0.49156,0.82672,0.000179177,0.000179177,0.000179177
9,670.635,0.87773,0.60844,0.84355,0.9404,0.93272,0.95342,0.77309,0.74459,0.48031,0.82634,0.000171488,0.000171488,0.000171488
10,745.182,0.85795,0.59378,0.84147,0.93781,0.93521,0.95375,0.77673,0.73338,0.47232,0.82386,0.000163799,0.000163799,0.000163799
11,818.236,0.84429,0.58126,0.83959,0.94455,0.93497,0.95807,0.78636,0.7211,0.46898,0.82279,0.00015611,0.00015611,0.00015611
12,891.778,0.83301,0.57341,0.83745,0.94159,0.93948,0.95833,0.7919,0.68719,0.46665,0.8209,0.000148421,0.000148421,0.000148421
13,965.563,0.8188,0.56407,0.8357,0.95436,0.93297,0.95878,0.79616,0.6788,0.4484,0.81972,0.000140732,0.000140732,0.000140732
14,1038.89,0.80065,0.54642,0.83334,0.94366,0.94231,0.95901,0.79845,0.6778,0.44132,0.81901,0.000133043,0.000133043,0.000133043
15,1113.2,0.79809,0.53845,0.83354,0.95854,0.94667,0.95954,0.80683,0.65188,0.43109,0.81666,0.000125354,0.000125354,0.000125354
16,1187.5,0.77858,0.52704,0.8324,0.95178,0.95283,0.95968,0.81093,0.64779,0.42382,0.81568,0.000117665,0.000117665,0.000117665
17,1260.75,0.77786,0.525,0.83124,0.95359,0.94907,0.95934,0.81047,0.64269,0.4179,0.81418,0.000109976,0.000109976,0.000109976
18,1333.31,0.76502,0.51525,0.83134,0.95723,0.9506,0.9596,0.81347,0.63668,0.41703,0.81376,0.000102287,0.000102287,0.000102287
19,1404.86,0.75454,0.50421,0.82833,0.95596,0.9536,0.95975,0.81603,0.6229,0.41027,0.81165,9.4598e-05,9.4598e-05,9.4598e-05
20,1475.86,0.75699,0.50479,0.8289,0.95528,0.95361,0.95974,0.81853,0.62099,0.40768,0.81138,8.6909e-05,8.6909e-05,8.6909e-05
21,1570.5,0.74202,0.50826,0.82584,0.95252,0.94952,0.95946,0.81685,0.63229,0.41285,0.81169,7.922e-05,7.922e-05,7.922e-05
22,1640.69,0.71069,0.48057,0.82072,0.95623,0.95218,0.95975,0.81935,0.61099,0.40314,0.81004,7.1531e-05,7.1531e-05,7.1531e-05
23,1708.27,0.69047,0.46858,0.81794,0.95537,0.95368,0.95957,0.82434,0.60632,0.39679,0.80929,6.3842e-05,6.3842e-05,6.3842e-05
24,1774.28,0.68724,0.46444,0.81883,0.95719,0.95445,0.95978,0.82771,0.59189,0.39009,0.8082,5.6153e-05,5.6153e-05,5.6153e-05
25,1840.18,0.67819,0.45714,0.81772,0.9571,0.95522,0.95996,0.82842,0.58996,0.38857,0.80776,4.8464e-05,4.8464e-05,4.8464e-05
26,1907.05,0.66948,0.45152,0.81771,0.95486,0.95601,0.96,0.83007,0.58022,0.38337,0.80728,4.0775e-05,4.0775e-05,4.0775e-05
27,1974.69,0.6634,0.44832,0.81612,0.95476,0.95727,0.95995,0.83411,0.57944,0.38203,0.80687,3.3086e-05,3.3086e-05,3.3086e-05
28,2042.59,0.65411,0.44355,0.81382,0.95825,0.95549,0.96,0.8351,0.56999,0.37724,0.80584,2.5397e-05,2.5397e-05,2.5397e-05
29,2112.07,0.6513,0.44075,0.81505,0.95755,0.95505,0.96001,0.83575,0.57007,0.37664,0.80609,1.7708e-05,1.7708e-05,1.7708e-05
30,2179.49,0.64616,0.43898,0.81413,0.95916,0.95558,0.95998,0.83734,0.56501,0.37347,0.80551,1.0019e-05,1.0019e-05,1.0019e-05
