epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.027,1.78126,3.88859,1.0555,0.85847,0.28268,0.32384,0.21843,1.44914,1.8642,0.94285,7.06886e-05,7.06886e-05,7.06886e-05
2,217.303,1.42869,1.56674,0.92963,0.74278,0.62234,0.69853,0.49398,1.16674,0.91234,0.88876,0.000137013,0.000137013,0.000137013
3,307.986,1.20701,1.04279,0.89113,0.81645,0.77511,0.81505,0.61302,0.96828,0.73541,0.85619,0.000198651,0.000198651,0.000198651
4,395.804,1.06723,0.86073,0.87138,0.8919,0.83385,0.89822,0.69713,0.86751,0.61598,0.84209,0.000191913,0.000191913,0.000191913
5,483.493,1.00315,0.76569,0.85993,0.90987,0.90013,0.93094,0.73542,0.81938,0.56842,0.83498,0.000184884,0.000184884,0.000184884
6,571.944,0.95861,0.70897,0.85533,0.9535,0.92384,0.95284,0.76495,0.78107,0.53473,0.82953,0.000177855,0.000177855,0.000177855
7,657.914,0.92394,0.66762,0.84939,0.97843,0.93072,0.97212,0.78945,0.75375,0.52765,0.82559,0.000170826,0.000170826,0.000170826
8,743.943,0.88691,0.63471,0.8432,0.97276,0.96525,0.9846,0.80023,0.75231,0.49678,0.82491,0.000163797,0.000163797,0.000163797
9,831.758,0.86992,0.6181,0.84268,0.97032,0.97356,0.98854,0.80391,0.74137,0.49072,0.82351,0.000156768,0.000156768,0.000156768
10,924.079,0.85103,0.59683,0.83928,0.98329,0.97458,0.99026,0.81475,0.70683,0.47287,0.81923,0.000149739,0.000149739,0.000149739
11,1017.28,0.84049,0.58539,0.83828,0.98591,0.9749,0.99206,0.81849,0.69404,0.45941,0.81834,0.00014271,0.00014271,0.00014271
12,1110.33,0.81887,0.56751,0.83412,0.98369,0.97985,0.99237,0.82885,0.66867,0.4515,0.81471,0.000135681,0.000135681,0.000135681
13,1197.82,0.80647,0.55408,0.83386,0.98871,0.98122,0.99325,0.83342,0.66454,0.43743,0.815,0.000128652,0.000128652,0.000128652
14,1323.62,0.79101,0.54217,0.83273,0.98788,0.98563,0.99349,0.83498,0.66544,0.43498,0.81458,0.000121623,0.000121623,0.000121623
15,1462.47,0.79011,0.53881,0.83206,0.99018,0.98546,0.99346,0.83836,0.65323,0.43049,0.81288,0.000114594,0.000114594,0.000114594
16,1601.67,0.78256,0.5295,0.83185,0.98812,0.98648,0.99373,0.8428,0.64207,0.41801,0.8112,0.000107565,0.000107565,0.000107565
17,1737.86,0.76402,0.51706,0.82882,0.98886,0.9885,0.99395,0.8465,0.62984,0.41514,0.81041,0.000100536,0.000100536,0.000100536
18,1851.81,0.76629,0.51636,0.82922,0.9904,0.98861,0.99399,0.84603,0.62326,0.41216,0.80959,9.3507e-05,9.3507e-05,9.3507e-05
19,1966.63,0.74781,0.50452,0.82689,0.98766,0.98962,0.99393,0.84983,0.62455,0.41195,0.80904,8.6478e-05,8.6478e-05,8.6478e-05
20,2088.45,0.74389,0.50057,0.82557,0.99064,0.98992,0.99397,0.8549,0.61167,0.40261,0.80755,7.9449e-05,7.9449e-05,7.9449e-05
21,2241.45,0.73914,0.50655,0.82459,0.98873,0.98943,0.99396,0.85013,0.61788,0.40777,0.80726,7.242e-05,7.242e-05,7.242e-05
22,2360.23,0.70733,0.48068,0.82073,0.99063,0.98849,0.99415,0.85407,0.60422,0.40041,0.80645,6.5391e-05,6.5391e-05,6.5391e-05
23,2477.33,0.69317,0.47019,0.81841,0.99018,0.99207,0.99427,0.85707,0.60028,0.39576,0.80606,5.8362e-05,5.8362e-05,5.8362e-05
24,2579.43,0.67932,0.46219,0.81666,0.99077,0.99073,0.99426,0.86239,0.58536,0.38916,0.80511,5.1333e-05,5.1333e-05,5.1333e-05
25,2697.42,0.67391,0.45873,0.81599,0.98898,0.99284,0.99435,0.86251,0.5822,0.38463,0.80449,4.4304e-05,4.4304e-05,4.4304e-05
26,2815.17,0.66689,0.45229,0.81399,0.99131,0.99226,0.9943,0.86504,0.5805,0.38546,0.8042,3.7275e-05,3.7275e-05,3.7275e-05
27,2927.57,0.66158,0.44836,0.81461,0.992,0.99145,0.99439,0.86758,0.56932,0.37839,0.80349,3.0246e-05,3.0246e-05,3.0246e-05
28,3045.11,0.65163,0.4426,0.81279,0.99182,0.99372,0.9944,0.86917,0.56821,0.37702,0.8032,2.3217e-05,2.3217e-05,2.3217e-05
29,3166.78,0.64732,0.4395,0.8117,0.99246,0.99302,0.9944,0.86964,0.5604,0.37282,0.80254,1.6188e-05,1.6188e-05,1.6188e-05
30,3273.36,0.64281,0.43858,0.81228,0.9927,0.99237,0.99443,0.87204,0.55909,0.37129,0.80259,9.159e-06,9.159e-06,9.159e-06
