epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8092,1.75338,3.75496,1.05422,0.79538,0.3421,0.36052,0.24235,1.42856,1.8296,0.93966,8.2897e-05,8.2897e-05,8.2897e-05
2,189.252,1.38802,1.5275,0.92934,0.69774,0.54356,0.61482,0.42237,1.16336,0.93864,0.88685,0.000160745,0.000160745,0.000160745
3,281.205,1.19379,1.01838,0.89358,0.79134,0.73057,0.81606,0.60668,0.98994,0.75074,0.86033,0.000233092,0.000233092,0.000233092
4,380.242,1.07384,0.84945,0.874,0.89088,0.85018,0.89897,0.68818,0.89647,0.64137,0.84688,0.00022525,0.00022525,0.00022525
5,467.848,0.99009,0.74681,0.8639,0.94175,0.88856,0.92958,0.72276,0.8355,0.57806,0.83829,0.000217,0.000217,0.000217
6,557.589,0.94882,0.69748,0.85513,0.93833,0.91895,0.95632,0.74806,0.81651,0.54307,0.83459,0.00020875,0.00020875,0.00020875
7,649.914,0.91548,0.65491,0.85203,0.95677,0.91585,0.98216,0.78062,0.78831,0.52281,0.82992,0.0002005,0.0002005,0.0002005
8,746.13,0.88722,0.62742,0.84686,0.96559,0.96153,0.98055,0.78563,0.75858,0.4968,0.82583,0.00019225,0.00019225,0.00019225
9,834.775,0.87241,0.60711,0.84313,0.97879,0.96366,0.98788,0.7971,0.75585,0.48551,0.82429,0.000184,0.000184,0.000184
10,922.521,0.84125,0.58641,0.8402,0.97664,0.97273,0.99157,0.80078,0.7302,0.47674,0.82138,0.00017575,0.00017575,0.00017575
11,1016.39,0.82836,0.57254,0.83935,0.97841,0.96932,0.99005,0.80149,0.72727,0.46544,0.82067,0.0001675,0.0001675,0.0001675
12,1111.18,0.80907,0.55832,0.83593,0.9816,0.97526,0.99205,0.81128,0.68129,0.44703,0.81549,0.00015925,0.00015925,0.00015925
13,1199.38,0.80116,0.54607,0.833,0.98227,0.98035,0.99283,0.81953,0.66788,0.44197,0.81439,0.000151,0.000151,0.000151
14,1287.52,0.78807,0.53821,0.83272,0.9831,0.97892,0.99277,0.82002,0.66866,0.43553,0.81407,0.00014275,0.00014275,0.00014275
15,1376.04,0.78531,0.53462,0.8312,0.98673,0.98428,0.99289,0.82771,0.65365,0.42805,0.81178,0.0001345,0.0001345,0.0001345
16,1456.94,0.76334,0.51791,0.82929,0.98775,0.98618,0.9937,0.83166,0.6409,0.42543,0.81001,0.00012625,0.00012625,0.00012625
17,1534.28,0.7616,0.51551,0.83067,0.98307,0.98878,0.9935,0.83452,0.63009,0.41968,0.80887,0.000118,0.000118,0.000118
18,1613.81,0.75651,0.50921,0.82814,0.98385,0.98765,0.99348,0.83363,0.63214,0.41506,0.80832,0.00010975,0.00010975,0.00010975
19,1695.14,0.74864,0.5042,0.82858,0.98886,0.9853,0.99358,0.83877,0.61577,0.40941,0.80773,0.0001015,0.0001015,0.0001015
20,1779.1,0.73453,0.49343,0.82622,0.98983,0.98467,0.99372,0.84134,0.60887,0.4012,0.80689,9.325e-05,9.325e-05,9.325e-05
21,1879.64,0.73481,0.50329,0.82574,0.98764,0.98338,0.99349,0.83713,0.62539,0.41102,0.8077,8.5e-05,8.5e-05,8.5e-05
22,1957.7,0.70062,0.47584,0.82198,0.98977,0.98657,0.99388,0.84368,0.61367,0.40247,0.80635,7.675e-05,7.675e-05,7.675e-05
23,2038.1,0.68573,0.46496,0.81767,0.98593,0.99079,0.99392,0.84433,0.59761,0.39559,0.80555,6.85e-05,6.85e-05,6.85e-05
24,2120.06,0.6703,0.45543,0.81688,0.99129,0.98763,0.99412,0.85062,0.58593,0.38972,0.80341,6.025e-05,6.025e-05,6.025e-05
25,2200.67,0.66768,0.45196,0.81569,0.99216,0.99008,0.99411,0.85335,0.57974,0.38535,0.80302,5.2e-05,5.2e-05,5.2e-05
26,2274.77,0.66137,0.44647,0.81498,0.99092,0.99023,0.99417,0.85634,0.57209,0.38207,0.80263,4.375e-05,4.375e-05,4.375e-05
27,2353.84,0.64966,0.44049,0.81323,0.99052,0.99106,0.99421,0.85627,0.57145,0.38177,0.80258,3.55e-05,3.55e-05,3.55e-05
28,2433.37,0.64397,0.43738,0.8137,0.99286,0.98884,0.99413,0.85985,0.56607,0.37829,0.80161,2.725e-05,2.725e-05,2.725e-05
29,2515.62,0.64095,0.43638,0.81138,0.99307,0.98965,0.99417,0.86103,0.55926,0.37481,0.8011,1.9e-05,1.9e-05,1.9e-05
30,2591.06,0.63145,0.42949,0.81162,0.99273,0.99054,0.99424,0.86117,0.55663,0.37308,0.80093,1.075e-05,1.075e-05,1.075e-05
